"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialNGlobal","id","choiceCondition","phase","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","isBestFirst","conflict","confrt","participant"
"1",-1,2.59819999998808,-1,-1,-1,1,-1,-1,3.08252728174603,2.7085193452381,2.57285466269841,2.99776785714286,0,17766,0,"OR1",2.59819999998808,2.7085193452381,2.84041728670635,0.322813326719578,3.08252728174603,2.57285466269841,2.99776785714286,2.7085193452381,FALSE,3,23.4674,17766
"2",-1,-1,-1,1.69949999999994,-1,-1,-1,1,8.15432787698413,8.41734871031746,7.27529761904762,8.76122271825397,1,17766,0,"OR1",1.69949999999994,8.76122271825397,8.1520492311508,0.812231316137566,8.76122271825397,7.27529761904762,8.41734871031746,8.15432787698413,TRUE,3,21.1232,17766
"3",-1,-1,4.66580000001204,-1,-1,-1,1,-1,2.20938740079365,5.30530753968254,3.90649801587302,1.56758432539683,2,17766,0,"OR1",4.66580000001204,3.90649801587302,3.24719432043651,2.74415095899471,5.30530753968254,1.56758432539683,3.90649801587302,2.20938740079365,FALSE,3,5.48,17766
"4",1.71639999997615,-1,-1,-1,1,-1,-1,-1,8.59567212301587,1.75440228174603,1.87518601190476,8.0804191468254,3,17766,0,"OR1",1.71639999997615,8.59567212301587,5.07641989087302,4.69233630952381,8.59567212301587,1.75440228174603,8.0804191468254,1.87518601190476,TRUE,3,6.5013,17766
"5",-1,-1,-1,-1,-1,-1,-1,-1,2.70684523809524,9.01866319444444,1.49906994047619,1.38064236111111,4,17766,0,"OR1",-1,-1,3.65130518353175,7.1564773478836,9.01866319444444,1.38064236111111,2.70684523809524,1.49906994047619,FALSE,2,8.2048,17766
"6",-1,1.08400000000006,-1,-1,-1,1,-1,-1,8.79005456349206,8.7023189484127,6.22953869047619,7.97259424603175,5,17766,0,"OR1",1.08400000000006,8.7023189484127,7.92362661210317,1.15523726851852,8.79005456349206,6.22953869047619,8.7023189484127,7.97259424603175,FALSE,3,6.9194,17766
"7",3.23510000002375,-1,-1,-1,1,-1,-1,-1,7.44828869047619,2.6227058531746,1.99020337301587,2.3491443452381,6,17766,0,"OR1",3.23510000002375,7.44828869047619,3.60258556547619,5.12760416666667,7.44828869047619,1.99020337301587,2.6227058531746,2.3491443452381,TRUE,2,4.9706,17766
"8",-1,-1,3.46350000000007,-1,-1,-1,1,-1,2.25303819444444,1.95467509920635,2.09561011904762,2.18948412698413,7,17766,0,"OR1",3.46350000000007,2.09561011904762,2.12320188492063,0.17311507936508,2.25303819444444,1.95467509920635,2.18948412698413,2.09561011904762,FALSE,4,2.7864,17766
"9",1.69819999998822,-1,-1,-1,1,-1,-1,-1,5.67292906746032,6.36972966269841,6.12121775793651,6.39632936507937,8,17766,0,"OR1",1.69819999998822,5.67292906746032,6.14005146329365,0.341703869047621,6.39632936507937,5.67292906746032,6.36972966269841,6.12121775793651,FALSE,2,2.301,17766
"10",-1,0.800999999999931,-1,-1,-1,1,-1,-1,6.11470734126984,10,9.05257936507937,6.77132936507936,9,17766,0,"OR1",0.800999999999931,10,7.98465401785714,2.68712797619048,10,6.11470734126984,9.05257936507937,6.77132936507936,TRUE,4,2.7555,17766
"11",-1,-1,0.816800000011881,-1,-1,-1,1,-1,4.77027529761905,0.97265625,2.84362599206349,4.21137152777778,10,17766,0,"OR1",0.816800000011881,2.84362599206349,3.19948226686508,2.09439070767196,4.77027529761905,0.97265625,4.21137152777778,2.84362599206349,FALSE,4,4.4029,17766
"12",-1,-1,4.88439999997604,-1,-1,-1,1,-1,3.36501736111111,1.14347718253968,7.91536458333333,5.9936755952381,11,17766,0,"OR1",4.88439999997604,7.91536458333333,4.60438368055556,4.4146412037037,7.91536458333333,1.14347718253968,5.9936755952381,3.36501736111111,TRUE,3,3.1218,17766
"13",-1,-1,-1,1.2485999999642,-1,-1,-1,1,3.3696056547619,4.22147817460317,3.20424107142857,3.43477182539683,12,17766,1,"XOR",1.2485999999642,3.43477182539683,3.55752418154762,0.88527199074074,4.22147817460317,3.20424107142857,3.43477182539683,3.3696056547619,FALSE,2,2.5539,17766
"14",-1,1.48580000001198,-1,-1,-1,1,-1,-1,3.3461681547619,8.73325892857143,3.93371775793651,3.43526785714286,13,17766,1,"XOR",1.48580000001198,8.73325892857143,4.86210317460317,5.161541005291,8.73325892857143,3.3461681547619,3.93371775793651,3.43526785714286,TRUE,3,2.9718,17766
"15",-1,2.35319999998819,-1,-1,-1,1,-1,-1,5.2124255952381,6.87766617063492,5.45758928571429,5.75830853174603,14,17766,1,"XOR",2.35319999998819,6.87766617063492,5.82649739583333,1.40155836640212,6.87766617063492,5.2124255952381,5.75830853174603,5.45758928571429,TRUE,2,3.5902,17766
"16",-1,0.932999999999993,-1,-1,-1,1,-1,-1,8.37797619047619,8.96843998015873,8.63727678571428,8.92274305555556,15,17766,1,"XOR",0.932999999999993,8.96843998015873,8.72660900297619,0.322441302910052,8.96843998015873,8.37797619047619,8.92274305555556,8.63727678571428,TRUE,3,2.5747,17766
"17",-1,-1,1.89940000003571,-1,-1,-1,1,-1,4.72978670634921,4.56671626984127,7.55140128968254,4.63256448412698,16,17766,1,"XOR",1.89940000003571,7.55140128968254,5.3701171875,2.90837880291005,7.55140128968254,4.56671626984127,4.72978670634921,4.63256448412698,TRUE,2,2.7212,17766
"18",-1,2.1538000000121,-1,-1,-1,1,-1,-1,7.90761408730159,9.50576636904762,8.6116691468254,6.71502976190476,17,17766,1,"XOR",2.1538000000121,9.50576636904762,8.18501984126984,1.76099537037037,9.50576636904762,6.71502976190476,8.6116691468254,7.90761408730159,TRUE,3,2.1687,17766
"19",1.96720000004757,-1,-1,-1,1,-1,-1,-1,2.05921378968254,0.72203621031746,3.51866319444444,1.65891617063492,18,17766,1,"XOR",1.96720000004757,2.05921378968254,1.98970734126984,2.0386078042328,3.51866319444444,0.72203621031746,2.05921378968254,1.65891617063492,FALSE,2,2.6381,17766
"20",-1,1.16589999997609,-1,-1,-1,1,-1,-1,9.92795138888889,6.79228670634921,7.83804563492064,7.37965029761905,19,17766,1,"XOR",1.16589999997609,6.79228670634921,7.98448350694444,2.59129050925926,9.92795138888889,6.79228670634921,7.83804563492064,7.37965029761905,FALSE,2,3.8548,17766
"21",-1,0.998800000011897,-1,-1,-1,1,-1,-1,1.42999751984127,9.55059523809524,1.26364087301587,1.4272693452381,20,17766,1,"XOR",0.998800000011897,9.55059523809524,3.41787574404762,8.17695932539683,9.55059523809524,1.26364087301587,1.42999751984127,1.4272693452381,TRUE,3,2.2542,17766
"22",1.86860000002389,-1,-1,-1,1,-1,-1,-1,6.38231646825397,0.904017857142857,2.14260912698413,0.701202876984127,21,17766,1,"XOR",1.86860000002389,6.38231646825397,2.53253658234127,5.1330398478836,6.38231646825397,0.701202876984127,2.14260912698413,0.904017857142857,TRUE,4,3.1558,17766
"23",-1,-1,-1,2.90119999998819,-1,-1,-1,1,2.41455853174603,1.99107142857143,3.09883432539683,1.99020337301587,22,17766,1,"XOR",2.90119999998819,1.99020337301587,2.37366691468254,0.966889880952381,3.09883432539683,1.99020337301587,2.41455853174603,1.99107142857143,FALSE,2,1.9187,17766
"24",-1,4.20709999996416,-1,-1,-1,1,-1,-1,1.89577132936508,1.96614583333333,5.25179811507936,3.04098462301587,23,17766,1,"XOR",4.20709999996416,1.96614583333333,3.03867497519841,2.9508308531746,5.25179811507936,1.89577132936508,3.04098462301587,1.96614583333333,FALSE,3,2.5202,17766
"25",-1,-1,-1,1.96310000002381,-1,-1,-1,1,4.70200892857143,7.1821056547619,7.24882192460317,8.69766865079365,24,17766,1,"XOR",1.96310000002381,8.69766865079365,6.95765128968254,2.32002314814815,8.69766865079365,4.70200892857143,7.24882192460317,7.1821056547619,TRUE,2,3.4981,17766
"26",1.41469999998822,-1,-1,-1,1,-1,-1,-1,5.54650297619048,3.53000992063492,2.28478422619048,2.24212549603175,25,17766,1,"XOR",1.41469999998822,5.54650297619048,3.4008556547619,2.8608630952381,5.54650297619048,2.24212549603175,3.53000992063492,2.28478422619048,TRUE,3,2.8698,17766
"27",-1,-1,1.64959999996427,-1,-1,-1,1,-1,3.51866319444444,2.05921378968254,9.05257936507937,7.31529017857143,26,17766,1,"XOR",1.64959999996427,9.05257936507937,5.48643663194444,4.75485697751323,9.05257936507937,2.05921378968254,7.31529017857143,3.51866319444444,TRUE,3,2.4037,17766
"28",-1,1.11769999998796,-1,-1,-1,1,-1,-1,4.18477182539683,7.51147073412698,6.93470982142857,7.98363095238095,27,17766,1,"XOR",1.11769999998796,7.51147073412698,6.65364583333333,1.77331349206349,7.98363095238095,4.18477182539683,7.51147073412698,6.93470982142857,FALSE,3,5.1706,17766
"29",-1,-1,1.66800000000012,-1,-1,-1,1,-1,1.54544890873016,2.09561011904762,3.01438492063492,2.3491443452381,28,17766,1,"XOR",1.66800000000012,3.01438492063492,2.2511470734127,1.01765046296296,3.01438492063492,1.54544890873016,2.3491443452381,2.09561011904762,TRUE,2,2.6057,17766
"30",-1,-1,1.36460000002398,-1,-1,-1,1,-1,2.88541666666667,2.14260912698413,2.81857638888889,2.7085193452381,29,17766,1,"XOR",1.36460000002398,2.81857638888889,2.63878038194444,0.32884837962963,2.88541666666667,2.14260912698413,2.81857638888889,2.7085193452381,FALSE,2,2.0699,17766
"31",3.00199999999995,-1,-1,-1,1,-1,-1,-1,2.89105902777778,5.9936755952381,5.70696924603175,2.54749503968254,30,17766,1,"XOR",3.00199999999995,2.89105902777778,4.28479972718254,2.27850115740741,5.9936755952381,2.54749503968254,5.70696924603175,2.89105902777778,FALSE,2,2.8022,17766
"32",-1,-1,1.63430000001176,-1,-1,-1,1,-1,7.81218998015873,7.55140128968254,7.72110615079365,7.88095238095238,31,17766,1,"XOR",1.63430000001176,7.72110615079365,7.74141245039683,0.186053240740741,7.88095238095238,7.55140128968254,7.81218998015873,7.72110615079365,FALSE,2,1.9718,17766
"33",3.13529999995239,-1,-1,-1,1,-1,-1,-1,4.22147817460317,4.63256448412698,3.68756200396825,6.6569320436508,32,17766,1,"XOR",3.13529999995239,4.22147817460317,4.7996341765873,2.47639715608466,6.6569320436508,3.68756200396825,4.63256448412698,4.22147817460317,FALSE,2,2.0054,17766
