"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","endTime","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","NChosen","minValue","maxValue","isWorstFirst","isSecondFirst","isThirdFirst","isBestFirst","catChoiceCondition","conflict"
"16",-1,3.57490000000598,-1,4.92140000000586,-1,1,-1,2,9.958447265625,9.991064453125,9.982080078125,9.1533203125,0,15,"5589be79fdf99b18be320155",1.7798,3.57490000000598,9.991064453125,9.77122802734375,0.823876953125001,9.991064453125,9.1533203125,9.982080078125,9.958447265625,2,0,10,FALSE,FALSE,FALSE,TRUE,"OR",4
"17",-1,-1,-1,2.40980000001196,-1,-1,-1,1,8.927685546875,7.018408203125,7.9267578125,1.8806640625,0,16,"5589be79fdf99b18be320155",0.4055,2.40980000001196,1.8806640625,6.43837890625,6.076953125,8.927685546875,1.8806640625,7.9267578125,7.018408203125,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",4
"18",-1,-1,-1,2.37899999999991,-1,-1,-1,1,8.10244140625,8.929541015625,8.026611328125,7.889208984375,1,17,"5589be79fdf99b18be320155",1.2347,2.37899999999991,7.889208984375,8.23695068359375,0.463655598958334,8.929541015625,7.889208984375,8.10244140625,8.026611328125,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",4
"19",-1,2.1620999999941,-1,-1,-1,1,-1,-1,2.9951171875,2.915576171875,5.985400390625,6.011572265625,0,18,"5589be79fdf99b18be320155",2.8795,2.1620999999941,2.915576171875,4.47691650390625,2.081787109375,6.011572265625,2.915576171875,5.985400390625,2.9951171875,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",2
"20",-1,-1,-1,2.86110000002395,-1,-1,-1,1,6.931005859375,5.925634765625,9.141552734375,8.0828125,1,19,"5589be79fdf99b18be320155",0.8304,2.86110000002395,8.0828125,7.52025146484375,2.12615559895833,9.141552734375,5.925634765625,8.0828125,6.931005859375,1,0,10,FALSE,TRUE,FALSE,FALSE,"XOR",3
"21",2.97620000001803,-1,-1,-1,1,-1,-1,-1,8.076220703125,8.968359375,9.968798828125,6.93583984375,1,20,"5589be79fdf99b18be320155",0.5326,2.97620000001803,8.076220703125,8.4873046875,2.06861979166667,9.968798828125,6.93583984375,8.968359375,8.076220703125,1,0,10,FALSE,FALSE,TRUE,FALSE,"XOR",4
"22",2.69480000001204,-1,-1,-1,1,-1,-1,-1,9.970166015625,9.0310546875,9.942822265625,9.0751953125,1,21,"5589be79fdf99b18be320155",1.3044,2.69480000001204,9.970166015625,9.5048095703125,0.631673177083334,9.970166015625,9.0310546875,9.942822265625,9.0751953125,1,0,10,FALSE,FALSE,FALSE,TRUE,"XOR",5
"23",-1,4.37450000000013,-1,-1,-1,1,-1,-1,5.966015625,5.83037109375,2.93935546875,5.985400390625,1,22,"5589be79fdf99b18be320155",0.383,4.37450000000013,5.83037109375,5.18028564453125,2.98790690104167,5.985400390625,2.93935546875,5.966015625,5.83037109375,1,0,10,FALSE,FALSE,TRUE,FALSE,"XOR",2
"24",-1,3.95859999999402,-1,-1,-1,1,-1,-1,10,3.982177734375,9.984423828125,9.958447265625,0,23,"5589be79fdf99b18be320155",0.8305,3.95859999999402,3.982177734375,8.48126220703125,5.998779296875,10,3.982177734375,9.984423828125,9.958447265625,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",4
"25",2.37709999999402,3.12579999998206,4.15699999999993,3.541799999982,1,2,4,3,0,0.0120605468750001,0.0681640625000002,1.06328125,0,24,"5589be79fdf99b18be320155",2.0538,2.37709999999402,0,0.28587646484375,0.381168619791667,1.06328125,0,0.0681640625000002,0.0120605468750001,4,0,10,TRUE,FALSE,FALSE,FALSE,"OR",1
"26",-1,4.53900000000021,-1,-1,-1,1,-1,-1,8.977734375,6.038671875,9.141552734375,9.98076171875,1,25,"5589be79fdf99b18be320155",0.3257,4.53900000000021,6.038671875,8.53468017578125,3.32801106770833,9.98076171875,6.038671875,9.141552734375,8.977734375,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",1
"27",-1,-1,-1,2.71080000001211,-1,-1,-1,1,10,8.968359375,9.958203125,9.973095703125,1,26,"5589be79fdf99b18be320155",0.4628,2.71080000001211,9.973095703125,9.72491455078125,1.008740234375,10,8.968359375,9.973095703125,9.958203125,1,0,10,FALSE,TRUE,FALSE,FALSE,"XOR",3
"28",-1,2.74380000001179,-1,-1,-1,1,-1,-1,2.78779296875,6.89404296875,1.8806640625,5.83037109375,1,27,"5589be79fdf99b18be320155",0.4156,2.74380000001179,6.89404296875,4.3482177734375,3.29007161458333,6.89404296875,1.8806640625,5.83037109375,2.78779296875,1,0,10,FALSE,FALSE,FALSE,TRUE,"XOR",3
"29",1.43019999998819,2.14379999998232,3.17559999999412,2.69379999998228,1,2,4,3,0,0.0675292968750002,0.973095703125,0,0,28,"5589be79fdf99b18be320155",2.076,1.43019999998819,0,0.26015625,0.346875,0.973095703125,0,0.0675292968750002,0,4,0,10,TRUE,FALSE,TRUE,FALSE,"OR",1
"30",1.2806999999882,1.94609999999398,-1,3.50909999999408,1,2,-1,3,0.869921875,0.03779296875,9.14140625,7.20673828125,0,29,"5589be79fdf99b18be320155",2.5604,1.2806999999882,0.869921875,4.31396484375,5.7015625,9.14140625,0.03779296875,7.20673828125,0.869921875,3,0,10,FALSE,FALSE,TRUE,FALSE,"OR",2
"31",4.74029999998197,-1,-1,-1,1,-1,-1,-1,5.045947265625,7.001806640625,9.141552734375,9.99033203125,1,30,"5589be79fdf99b18be320155",0.7183,4.74029999998197,5.045947265625,7.79490966796875,3.665283203125,9.99033203125,5.045947265625,9.141552734375,7.001806640625,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",2
"32",-1,-1,-1,2.17880000001196,-1,-1,-1,1,9.984326171875,6.90693359375,8.923779296875,5.05166015625,1,31,"5589be79fdf99b18be320155",0.2314,2.17880000001196,5.05166015625,7.7166748046875,3.55335286458333,9.984326171875,5.05166015625,8.923779296875,6.90693359375,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",4
"33",1.06400000000008,-1,-1,-1,1,-1,-1,-1,6.232177734375,9.982861328125,9.98017578125,9.98955078125,0,32,"5589be79fdf99b18be320155",1.1282,1.06400000000008,6.232177734375,9.04619140625,3.75201822916667,9.98955078125,6.232177734375,9.982861328125,9.98017578125,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",4
"34",3.47570000001792,-1,-1,-1,1,-1,-1,-1,6.011572265625,7.894189453125,4.02587890625,2.835107421875,1,33,"5589be79fdf99b18be320155",0.3156,3.47570000001792,6.011572265625,5.19168701171875,3.14210611979167,7.894189453125,2.835107421875,6.011572265625,4.02587890625,1,0,10,FALSE,TRUE,FALSE,FALSE,"XOR",2
"35",-1,1.76199999999994,-1,-1,-1,1,-1,-1,4.986083984375,8.076220703125,9.970166015625,9.958203125,0,34,"5589be79fdf99b18be320155",0.6372,1.76199999999994,8.076220703125,8.24766845703125,4.348779296875,9.970166015625,4.986083984375,9.958203125,8.076220703125,1,0,10,FALSE,FALSE,TRUE,FALSE,"OR",4
"36",-1,2.21019999998816,-1,-1,-1,1,-1,-1,7.8869140625,3.899560546875,8.881591796875,5.03330078125,1,35,"5589be79fdf99b18be320155",0.3089,2.21019999998816,3.899560546875,6.425341796875,3.36770833333333,8.881591796875,3.899560546875,7.8869140625,5.03330078125,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",4
"37",-1,1.88020000001779,-1,-1,-1,1,-1,-1,9.033642578125,8.858349609375,9.075732421875,9.08427734375,0,36,"5589be79fdf99b18be320155",0.367,1.88020000001779,8.858349609375,9.01300048828125,0.206201171875,9.08427734375,8.858349609375,9.075732421875,9.033642578125,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",3
"38",-1,2.51039999997602,-1,-1,-1,1,-1,-1,9.969677734375,10,9.964599609375,9.984326171875,1,37,"5589be79fdf99b18be320155",0.4183,2.51039999997602,10,9.97965087890625,0.0200683593750011,10,9.964599609375,9.984326171875,9.969677734375,1,0,10,FALSE,FALSE,FALSE,TRUE,"XOR",4
"39",-1,-1,-1,1.69639999997617,-1,-1,-1,1,8.929541015625,6.78173828125,8.977734375,3.912939453125,1,38,"5589be79fdf99b18be320155",0.4828,1.69639999997617,3.912939453125,7.15048828125,4.31673177083333,8.977734375,3.912939453125,8.929541015625,6.78173828125,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",3
"40",0.964800000011792,2.32820000001789,-1,-1,1,2,-1,-1,6.89404296875,7.818310546875,9.970166015625,9.98017578125,0,39,"5589be79fdf99b18be320155",1.6521,0.964800000011792,6.89404296875,8.665673828125,2.36217447916667,9.98017578125,6.89404296875,9.970166015625,7.818310546875,2,0,10,TRUE,FALSE,FALSE,FALSE,"OR",2
"41",-1,-1,-1,2.6627999999821,-1,-1,-1,1,7.036279296875,9.9669921875,9.99033203125,7.925341796875,0,40,"5589be79fdf99b18be320155",0.1841,2.6627999999821,7.925341796875,8.729736328125,2.25794270833333,9.99033203125,7.036279296875,9.9669921875,7.925341796875,1,0,10,FALSE,FALSE,TRUE,FALSE,"OR",4
"42",-1,2.37770000001797,-1,-1,-1,1,-1,-1,9.947705078125,6.875634765625,5.03095703125,9.057470703125,0,41,"5589be79fdf99b18be320155",0.4516,2.37770000001797,6.875634765625,7.72794189453125,3.59597981770833,9.947705078125,5.03095703125,9.057470703125,6.875634765625,1,0,10,FALSE,FALSE,TRUE,FALSE,"OR",4
"43",2.52549999999996,-1,-1,-1,1,-1,-1,-1,6.011572265625,7.121142578125,3.960791015625,7.9544921875,1,42,"5589be79fdf99b18be320155",0.4003,2.52549999999996,6.011572265625,6.26199951171875,3.06827799479167,7.9544921875,3.960791015625,7.121142578125,6.011572265625,1,0,10,FALSE,FALSE,TRUE,FALSE,"XOR",1
"44",1.09759999999415,2.32739999997625,-1,1.81219999998825,1,3,-1,2,0.9828125,1.06328125,1.975,2.13505859375,0,43,"5589be79fdf99b18be320155",1.8945,1.09759999999415,0.9828125,1.5390380859375,0.741634114583334,2.13505859375,0.9828125,1.975,1.06328125,3,0,10,TRUE,FALSE,FALSE,FALSE,"OR",1
"45",3.15940000000592,-1,-1,-1,1,-1,-1,-1,9.0345703125,9.94853515625,9.94580078125,9.9669921875,0,44,"5589be79fdf99b18be320155",0.2166,3.15940000000592,9.0345703125,9.723974609375,0.919205729166665,9.9669921875,9.0345703125,9.94853515625,9.94580078125,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",4
"46",-1,-1,1.52939999997625,-1,-1,-1,1,-1,9.98076171875,8.67236328125,7.99765625,9.94853515625,0,45,"5589be79fdf99b18be320155",0.7324,1.52939999997625,7.99765625,9.1498291015625,1.53623046875,9.98076171875,7.99765625,9.94853515625,8.67236328125,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",3
"47",-1,-1,-1,1.13009999999417,-1,-1,-1,1,8.927685546875,8.843408203125,10,1.99130859375,1,46,"5589be79fdf99b18be320155",0.3913,1.13009999999417,1.99130859375,7.4406005859375,7.26572265625,10,1.99130859375,8.927685546875,8.843408203125,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",4
"48",0.881300000011834,-1,-1,-1,1,-1,-1,-1,2.13505859375,9.98671875,5.0544921875,7.9955078125,1,47,"5589be79fdf99b18be320155",0.4357,0.881300000011834,2.13505859375,6.2929443359375,5.54384765625,9.98671875,2.13505859375,7.9955078125,5.0544921875,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",4
"49",-1,-1,1.14750000000004,-1,-1,-1,1,-1,8.011474609375,9.984423828125,6.903271484375,7.894189453125,1,48,"5589be79fdf99b18be320155",0.3206,1.14750000000004,6.903271484375,8.19833984375,1.7267578125,9.984423828125,6.903271484375,8.011474609375,7.894189453125,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",2
"50",3.27549999999996,-1,-1,-1,1,-1,-1,-1,4.939990234375,2.996923828125,4.986083984375,3.9689453125,0,49,"5589be79fdf99b18be320155",0.334,3.27549999999996,4.939990234375,4.22298583984375,1.63474934895833,4.986083984375,2.996923828125,4.939990234375,3.9689453125,1,0,10,FALSE,TRUE,FALSE,FALSE,"OR",2
