"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialNGlobal","participant","choiceCondition","phase","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","isBestFirst","varValue","conflict","confrt"
"1",-1,-1,-1,2.38399999999956,-1,-1,-1,1,8.9947096002165,6.48148208698898,2.72486812853939,6.89153479520606,0,"5607080ed7def20012b733c3",1,"XOR",2.38399999999956,6.89153479520606,6.27314865273773,3.62874792997169,8.9947096002165,2.72486812853939,6.89153479520606,6.48148208698898,FALSE,6.80766430342351,2,4.6876
"2",-1,-1,-1,2.33390000009558,-1,-1,-1,1,1.9312173348886,0.88624358807922,1.97089926906364,1.9312173348886,1,"5607080ed7def20012b733c3",1,"XOR",2.33390000009558,1.9312173348886,1.67989438173001,0.38800651644483,1.97089926906364,0.88624358807922,1.9312173348886,1.9312173348886,FALSE,0.280297293427765,3,3.9685
"3",-1,-1,-1,2.5678000000712,-1,-1,-1,1,9.16666666666667,9.81481602582982,9.02116422299986,10,2,"5607080ed7def20012b733c3",1,"XOR",2.5678000000712,10,9.50066172887409,0.665784361501219,10,9.02116422299986,9.81481602582982,9.16666666666667,TRUE,0.229834063675104,1,4.1338
"4",-1,-1,2.38339999997652,-1,-1,-1,1,-1,2.79100569467696,5.6349210385923,5.01322731139168,6.00529080345517,3,"5607080ed7def20012b733c3",1,"XOR",2.38339999997652,5.01322731139168,4.86111121202903,1.52557278856819,6.00529080345517,2.79100569467696,5.6349210385923,5.01322731139168,FALSE,2.07213491525959,4,4.3348
"5",-1,2.40010000002394,-1,-1,-1,1,-1,-1,8.92857203407893,9.06084716635406,8.63756613756614,9.6957671957672,4,"5607080ed7def20012b733c3",1,"XOR",2.40010000002394,9.06084716635406,9.08068813344158,0.820105416434151,9.6957671957672,8.63756613756614,9.06084716635406,8.92857203407893,FALSE,0.199404109266757,2,4.2521
"6",-1,-1,4.18110000002389,-1,-1,-1,1,-1,6.01851912402602,2.01058221241784,2.0370368352012,1.9312173348886,5,"5607080ed7def20012b733c3",1,"XOR",4.18110000002389,2.0370368352012,2.99933887663342,4.02557366319014,6.01851912402602,1.9312173348886,2.0370368352012,2.01058221241784,FALSE,4.05333265138677,4,3.5575
"7",2.58320000004778,-1,-1,-1,1,-1,-1,-1,4.86772486772487,4.81481461297898,6.89153479520606,3.88888868705306,6,"5607080ed7def20012b733c3",1,"XOR",2.58320000004778,4.86772486772487,5.11574074074074,2.36772540595376,6.89153479520606,3.88888868705306,4.86772486772487,4.81481461297898,FALSE,1.60355963104986,5,4.9186
"8",2.73360000002413,-1,-1,-1,1,-1,-1,-1,3.53174623358187,3.92857163040726,7.20899531450221,5.99206349206349,7,"5607080ed7def20012b733c3",1,"XOR",2.73360000002413,3.53174623358187,5.16534416763871,2.724868195818,7.20899531450221,3.53174623358187,5.99206349206349,3.92857163040726,FALSE,3.01940779015286,3,3.2529
"9",-1,-1,2.36760000002414,-1,-1,-1,1,-1,2.91005351556041,2.11640272190962,1.9312173348886,2.96296276112713,8,"5607080ed7def20012b733c3",1,"XOR",2.36760000002414,1.9312173348886,2.48015908337144,0.643738237007585,2.96296276112713,1.9312173348886,2.91005351556041,2.11640272190962,FALSE,0.28385478260428,4,3.5005
"10",-1,-1,1.30080000007138,-1,-1,-1,1,-1,2.14285734469298,3.92857163040726,9.94709115810495,0.992064097570994,9,"5607080ed7def20012b733c3",1,"XOR",1.30080000007138,9.94709115810495,4.25264605769405,7.59259346721454,9.94709115810495,0.992064097570994,3.92857163040726,2.14285734469298,TRUE,15.8714441227339,3,4.4348
"11",-1,-1,-1,2.30100000000039,-1,-1,-1,1,4.07407407407407,3.69047598864036,4.97354537721664,10,10,"5607080ed7def20012b733c3",1,"XOR",2.30100000000039,10,5.68452385998277,5.75396818668964,10,3.69047598864036,4.97354537721664,4.07407407407407,TRUE,8.566200048051,2,3.9338
"12",-1,-1,1.85069999992857,-1,-1,-1,1,-1,1.9312173348886,9.03439153439154,2.98941839308966,0,11,"5607080ed7def20012b733c3",1,"XOR",1.85069999992857,2.98941839308966,3.48875681559245,7.39417962506545,9.03439153439154,0,2.98941839308966,1.9312173348886,FALSE,15.2002522156105,3,5.5398
"13",-1,2.88370000004761,-1,-1,-1,1,-1,-1,6.9708996727353,2.97619108169798,2.96296276112713,1.89153439153439,12,"5607080ed7def20012b733c3",0,"OR1",2.88370000004761,2.97619108169798,3.7003969767737,4.36067026128214,6.9708996727353,1.89153439153439,2.97619108169798,2.96296276112713,FALSE,5.01215171247982,2,7.4749
