"","value","rating.rt","participant","pic_path"
"1",8.002646108,6.9372,"5607080ed7def20012b733c3","EC_0096.jpg"
"2",6.005290803,3.9896,"5607080ed7def20012b733c3","EC_0119.jpg"
"3",6.970899673,5.6326,"5607080ed7def20012b733c3","EC_0001.jpg"
"4",8.928572034,2.7926,"5607080ed7def20012b733c3","EC_0104.jpg"
"5",9.060847166,4.5695,"5607080ed7def20012b733c3","EC_0065.jpg"
"6",7.923280221,4.2327,"5607080ed7def20012b733c3","EC_0072.jpg"
"7",3.994709197,4.9612,"5607080ed7def20012b733c3","EC_0109.jpg"
"8",4.986772689,5.6113,"5607080ed7def20012b733c3","EC_0194.jpg"
"9",9.947091158,4.6922,"5607080ed7def20012b733c3","EC_0185.jpg"
"10",1.970899269,4.6939,"5607080ed7def20012b733c3","EC_0075.jpg"
"11",0.886243588,3.4114,"5607080ed7def20012b733c3","EC_0164.jpg"
"12",7.976190476,3.7069,"5607080ed7def20012b733c3","EC_0205.jpg"
"13",3.994709197,3.0262,"5607080ed7def20012b733c3","EC_0027.jpg"
"14",0.965608466,4.3516,"5607080ed7def20012b733c3","EC_0033.jpeg"
"15",9.947091158,4.3992,"5607080ed7def20012b733c3","EC_0229.jpg"
"16",3.968254574,10.5937,"5607080ed7def20012b733c3","EC_0048.jpg"
"17",0.066137667,4.151,"5607080ed7def20012b733c3","EC_0183.jpg"
"18",0.952381154,5.1488,"5607080ed7def20012b733c3","EC_0204.jpg"
"19",6.997354296,3.1907,"5607080ed7def20012b733c3","EC_0006.jpg"
"20",3.981481885,2.702,"5607080ed7def20012b733c3","EC_0246.jpg"
"21",6.018519124,4.8914,"5607080ed7def20012b733c3","EC_0141.jpg"
"22",0.992064098,3.4581,"5607080ed7def20012b733c3","EC_0028.jpg"
"23",8.068783674,2.8248,"5607080ed7def20012b733c3","EC_0250.jpg"
"24",3.915344319,6.9986,"5607080ed7def20012b733c3","EC_0100.jpg"
"25",5.939153237,2.7157,"5607080ed7def20012b733c3","EC_0044.jpg"
"26",8.835978836,2.5667,"5607080ed7def20012b733c3","EC_0124.jpeg"
"27",7.976190476,2.6368,"5607080ed7def20012b733c3","EC_0123.jpeg"
"28",9.814816026,2.9556,"5607080ed7def20012b733c3","EC_0068.jpg"
"29",7.843915344,2.5385,"5607080ed7def20012b733c3","EC_0132.jpg"
"30",6.891534795,3.7647,"5607080ed7def20012b733c3","EC_0011.jpg"
"31",6.005290803,2.5398,"5607080ed7def20012b733c3","EC_0238.jpg"
"32",1.00918e-07,4.4757,"5607080ed7def20012b733c3","EC_0154.jpg"
"33",5.013227311,2.9672,"5607080ed7def20012b733c3","EC_0248.jpg"
"34",6.917989418,4.4496,"5607080ed7def20012b733c3","EC_0038.jpg"
"35",6.957672361,4.0002,"5607080ed7def20012b733c3","EC_0182.jpg"
"36",8.01587342,11.6281,"5607080ed7def20012b733c3","EC_0239.jpg"
