"catChoiceCondition","I_acc","se_acc","study","I_rt","se_rt"
"XOR",0.490349128892707,0.0139665781112455,"Study 12",2.86740897330464,0.089761542813238
"OR",0.46530861543226,0.0139951711133297,"Study 12",2.56728653856626,0.0784954711383517
