"beta_OV","se_OV","catChoiceCondition","beta_VD","se_VD","study"
-0.42819910490015,0.0290916589873428,"OR",-0.180510388182266,0.0187517585481731,"Study 12"
-0.289025405397946,0.0267355027441918,"XOR",-0.190466722147106,0.019863582585423,"Study 12"
