a,I_RT,b1_RT,b2_RT,I_Acc,b1_Acc,b2_Acc
0.4,0.604300296031761,-0.189863240929879,-0.0683747379805411,0.399811760789823,-0.0721143895579694,0.467456693837631
0.468421052631579,0.85154864383226,-0.294198167084314,-0.117404872055299,0.427952375612426,-0.0702894803740231,0.542150728864339
0.536842105263158,1.17213480481087,-0.385457064398835,-0.170194395810712,0.45282217722604,-0.054841259817924,0.60872042544888
0.605263157894737,1.54141895849,-0.435312805528411,-0.211055652106876,0.471176360494104,-0.0277570471676559,0.659220221261956
0.673684210526316,1.92111359747204,-0.439287485425351,-0.23410110573637,0.479872774221097,-0.00965001042307097,0.692295181661903
0.742105263157895,2.2766614619425,-0.41004636978574,-0.235058966869457,0.483451231769192,0.0105286495343088,0.710628862607841
0.810526315789474,2.58775869512467,-0.365307997296017,-0.222509335460595,0.481991416085247,0.0241676362418215,0.709650411553661
0.878947368421052,2.84834717411453,-0.319108718355173,-0.201064147082977,0.478162192721475,0.032742435389955,0.701529637186882
0.947368421052632,3.05992332325652,-0.277876400972257,-0.178675892659631,0.473146334538255,0.0279805618837878,0.690868236197081
1.01578947368421,3.23110361029607,-0.24388852080159,-0.156846820603209,0.469275680266713,0.0310090433056495,0.677962053564904
1.08421052631579,3.37121790798876,-0.216260870952297,-0.137568067472451,0.464806687243088,0.0268926085200467,0.667516898181322
1.15263157894737,3.48552405811803,-0.194187408809503,-0.122565329666373,0.461029808361245,0.0290641830736037,0.659806831141559
1.22105263157895,3.58218047457176,-0.176851373190804,-0.110159211214103,0.457681830779366,0.0284158848023822,0.652833452180487
1.28947368421053,3.66382512834993,-0.162264555249684,-0.0988607806658552,0.455697277595153,0.028565429595315,0.643376087076461
1.35789473684211,3.73465475450882,-0.150304200545279,-0.0907514225798648,0.452213203388926,0.0301730946109648,0.637499666948635
1.42631578947368,3.79543730530738,-0.140322551019217,-0.0839123332419784,0.450707552637176,0.0267935346112775,0.626767561331465
1.49473684210526,3.84938343135639,-0.131163862362378,-0.0780648141307426,0.448091204415893,0.02674897584679,0.626212314065194
1.56315789473684,3.8974014994266,-0.123679460123426,-0.0725954887885832,0.447016144986173,0.0259585953214766,0.619250498731972
1.63157894736842,3.94018446479179,-0.116486695227015,-0.0680500459009601,0.445259163644551,0.0275287268368629,0.614718207133236
1.7,3.97834389610357,-0.110578069308393,-0.0646413116302092,0.444683640426318,0.0294206804993475,0.616974741301935
