"","value","rating.rt","participant","pic_path"
"1",7.070106627,2.4239,"5588ee6ffdf99b304dd48297","EC_0166.jpg"
"2",5.88624379,2.0906,"5588ee6ffdf99b304dd48297","EC_0177.jpg"
"3",9.94047619,2.5498,"5588ee6ffdf99b304dd48297","EC_0020.jpg"
"4",3.73015873,2.7892,"5588ee6ffdf99b304dd48297","EC_0150.jpg"
"5",7.030424088,2.0811,"5588ee6ffdf99b304dd48297","EC_0128.jpeg"
"6",7.916666667,2.2611,"5588ee6ffdf99b304dd48297","EC_0070.jpg"
"7",3.253968254,2.7811,"5588ee6ffdf99b304dd48297","EC_0201.jpg"
"8",9.900793651,2.2691,"5588ee6ffdf99b304dd48297","EC_0028.jpg"
"9",9.080688234,2.1253,"5588ee6ffdf99b304dd48297","EC_0003.jpg"
"10",4.034392342,2.5811,"5588ee6ffdf99b304dd48297","EC_0124.jpeg"
"11",5.092592996,2.1709,"5588ee6ffdf99b304dd48297","EC_0197.jpg"
"12",3.240741548,2.3296,"5588ee6ffdf99b304dd48297","EC_0005.jpg"
"13",7.996031746,2.1943,"5588ee6ffdf99b304dd48297","EC_0065.jpg"
"14",6.884920635,2.2125,"5588ee6ffdf99b304dd48297","EC_0056.jpg"
"15",8.108466012,1.9537,"5588ee6ffdf99b304dd48297","EC_0059.jpg"
"16",6.078043135,2.3174,"5588ee6ffdf99b304dd48297","EC_0176.jpg"
"17",6.177249485,2.2779,"5588ee6ffdf99b304dd48297","EC_0018.jpg"
"18",7.810846965,2.0017,"5588ee6ffdf99b304dd48297","EC_0238.jpg"
"19",9.160053314,2.0555,"5588ee6ffdf99b304dd48297","EC_0119.jpg"
"20",9.933862838,2.0004,"5588ee6ffdf99b304dd48297","EC_0085.jpg"
"21",8.855820913,2.0949,"5588ee6ffdf99b304dd48297","EC_0094.jpg"
"22",7.638888889,2.0104,"5588ee6ffdf99b304dd48297","EC_0229.jpg"
"23",9.861111111,2.6157,"5588ee6ffdf99b304dd48297","EC_0104.jpg"
"24",9.054233612,1.9536,"5588ee6ffdf99b304dd48297","EC_0010.jpg"
"25",9.047619048,1.7921,"5588ee6ffdf99b304dd48297","EC_0233.jpg"
"26",6.957672361,2.1657,"5588ee6ffdf99b304dd48297","EC_0066.jpg"
"27",8.154761905,2.0488,"5588ee6ffdf99b304dd48297","EC_0188.jpg"
"28",6.130952381,2.1669,"5588ee6ffdf99b304dd48297","EC_0211.jpg"
"29",7.771164425,2.0637,"5588ee6ffdf99b304dd48297","EC_0159.jpg"
"30",9.404761905,2.1648,"5588ee6ffdf99b304dd48297","EC_0041.jpg"
"31",9.768519326,2.4076,"5588ee6ffdf99b304dd48297","EC_0039.jpg"
"32",5.271164425,2.3131,"5588ee6ffdf99b304dd48297","EC_0012.jpg"
"33",6.038360596,1.8657,"5588ee6ffdf99b304dd48297","EC_0117.jpg"
"34",6.865079365,2.0112,"5588ee6ffdf99b304dd48297","EC_0027.jpg"
"35",8.465608869,2.0547,"5588ee6ffdf99b304dd48297","EC_0139.png"
"36",7.777777778,2.001,"5588ee6ffdf99b304dd48297","EC_0097.jpg"
"37",9.027777778,2.15,"5588ee6ffdf99b304dd48297","EC_0022.jpg"
"38",6.501323155,2.2497,"5588ee6ffdf99b304dd48297","EC_0224.jpg"
"39",5.46296377,2.0574,"5588ee6ffdf99b304dd48297","EC_0200.png"
"40",6.798942203,1.8882,"5588ee6ffdf99b304dd48297","EC_0086.jpg"
"41",9.034392342,2.0997,"5588ee6ffdf99b304dd48297","EC_0171.jpg"
"42",9.920634921,1.9956,"5588ee6ffdf99b304dd48297","EC_0223.jpg"
"43",6.765873016,2.1013,"5588ee6ffdf99b304dd48297","EC_0138.png"
"44",8.141535199,1.92,"5588ee6ffdf99b304dd48297","EC_0234.jpg"
"45",9.285714286,2.0183,"5588ee6ffdf99b304dd48297","EC_0174.jpg"
"46",9.457672361,2.0036,"5588ee6ffdf99b304dd48297","EC_0037.jpg"
"47",7.837301587,2.0388,"5588ee6ffdf99b304dd48297","EC_0049.jpg"
"48",6.521164425,2.1298,"5588ee6ffdf99b304dd48297","EC_0015.jpg"
"49",7.605820913,1.9412,"5588ee6ffdf99b304dd48297","EC_0168.jpeg"
"50",7.46031746,1.9333,"5588ee6ffdf99b304dd48297","EC_0219.jpg"
"51",4.067460317,2.3812,"5588ee6ffdf99b304dd48297","EC_0011.jpg"
"52",4.669312977,2.0458,"5588ee6ffdf99b304dd48297","EC_0101.jpg"
"53",6.785714286,2.0677,"5588ee6ffdf99b304dd48297","EC_0194.jpg"
"54",8.280424088,1.8667,"5588ee6ffdf99b304dd48297","EC_0032.jpg"
"55",7.149471707,1.8918,"5588ee6ffdf99b304dd48297","EC_0014.jpg"
"56",8.121693929,1.7141,"5588ee6ffdf99b304dd48297","EC_0098.jpg"
"57",9.113757421,1.9994,"5588ee6ffdf99b304dd48297","EC_0116.jpg"
"58",9.074074881,1.6168,"5588ee6ffdf99b304dd48297","EC_0214.jpg"
"59",9.417989822,1.8896,"5588ee6ffdf99b304dd48297","EC_0250.jpg"
"60",9.669312977,1.8971,"5588ee6ffdf99b304dd48297","EC_0148.jpg"
"61",8.253968254,1.9982,"5588ee6ffdf99b304dd48297","EC_0068.jpg"
"62",9.874339028,2.1662,"5588ee6ffdf99b304dd48297","EC_0081.jpg"
"63",7.837301587,1.9059,"5588ee6ffdf99b304dd48297","EC_0153.jpg"
"64",9.861111111,2.396,"5588ee6ffdf99b304dd48297","EC_0169.png"
"65",8.822751726,2.1523,"5588ee6ffdf99b304dd48297","EC_0069.jpg"
