"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialN","participant","duration","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","NChosen","minValue","maxValue","isWorstFirst","isSecondFirst","isThirdFirst","isBestFirst","conflict"
"1",-1,-1,1.05019999998808,-1,-1,-1,1,-1,4.03439234173487,6.76587301587302,8.11507936507937,6.95105900840154,0,"5588ee6ffdf99b304dd48297",3,1.05019999998808,8.11507936507937,6.4666009327722,2.19797124307622,8.11507936507937,4.03439234173487,6.95105900840154,6.76587301587302,1,2.665344723,9.973545377,FALSE,FALSE,FALSE,TRUE,2
"2",2.18360000002383,-1,-1,-1,1,-1,-1,-1,7.77777777777778,4.99338664705791,6.50132315499442,5.05291045658172,1,"5588ee6ffdf99b304dd48297",60,2.18360000002383,7.77777777777778,6.08134950910296,2.26190435823309,7.77777777777778,4.99338664705791,6.50132315499442,5.05291045658172,1,2.665344723,9.973545377,FALSE,FALSE,FALSE,TRUE,4
"3",1.4334000000357,-1,-1,-1,1,-1,-1,-1,8.26058281792535,9.88095238095238,7.81084696451823,4.06746031746032,2,"5588ee6ffdf99b304dd48297",60,1.4334000000357,8.26058281792535,7.50496062021407,3.16798901431775,9.88095238095238,4.06746031746032,8.26058281792535,7.81084696451823,1,2.665344723,9.973545377,FALSE,TRUE,FALSE,FALSE,1
"4",-1,-1,-1,0.841000000000122,-1,-1,-1,1,6.88492063492063,7.63888888888889,7.81084696451823,8.11507936507937,3,"5588ee6ffdf99b304dd48297",3,0.841000000000122,8.11507936507937,7.61243396335178,0.670193868970115,8.11507936507937,6.88492063492063,7.81084696451823,7.63888888888889,1,2.665344723,9.973545377,FALSE,FALSE,FALSE,TRUE,3
"5",-1,1.046600000024,-1,-1,-1,1,-1,-1,7.63888888888889,6.76587301587302,6.73941839308966,7.79761904761905,4,"5588ee6ffdf99b304dd48297",60,1.046600000024,6.76587301587302,7.23544983636765,0.749558948335193,7.79761904761905,6.73941839308966,7.63888888888889,6.76587301587302,1,2.665344723,9.973545377,FALSE,FALSE,TRUE,FALSE,3
"6",-1,1.06680000001211,-1,-1,-1,1,-1,-1,9.94047619047619,9.87433902801029,7.45370410737537,8.82275172642299,5,"5588ee6ffdf99b304dd48297",3,1.06680000001211,9.87433902801029,9.02281776307121,1.2235445698733,9.94047619047619,7.45370410737537,9.87433902801029,8.82275172642299,1,2.665344723,9.973545377,FALSE,TRUE,FALSE,FALSE,2
"7",-1,-1,-1,1.00330000001213,-1,-1,-1,1,9.79497394864521,9.94047619047619,7.51984126984127,9.48412698412698,6,"5588ee6ffdf99b304dd48297",60,1.00330000001213,9.48412698412698,9.18485459827241,1.0074954562717,9.94047619047619,7.51984126984127,9.79497394864521,9.48412698412698,1,2.665344723,9.973545377,FALSE,FALSE,TRUE,FALSE,1
"8",-1,1.31339999997635,-1,-1,-1,1,-1,-1,9.67592632959759,9.41798982166109,9.31217011951265,9.76851932586186,7,"5588ee6ffdf99b304dd48297",3,1.31339999997635,9.41798982166109,9.5436513991583,0.299823902271413,9.76851932586186,9.31217011951265,9.67592632959759,9.41798982166109,1,2.665344723,9.973545377,FALSE,FALSE,TRUE,FALSE,2
"9",-1,1.18340000003582,-1,-1,-1,1,-1,-1,7.59920634920635,6.13095238095238,6.86507936507937,6.07804313538566,8,"5588ee6ffdf99b304dd48297",3,1.18340000003582,6.13095238095238,6.66832030765594,1.24118138873388,7.59920634920635,6.07804313538566,6.86507936507937,6.13095238095238,1,2.665344723,9.973545377,FALSE,FALSE,TRUE,FALSE,4
"10",-1,1.32050000000004,-1,-1,-1,1,-1,-1,7.03042408776662,9.05423361157614,6.95105900840154,6.85846601213728,9,"5588ee6ffdf99b304dd48297",3,1.32050000000004,9.05423361157614,7.47354567997039,2.10758390880766,9.05423361157614,6.85846601213728,7.03042408776662,6.95105900840154,1,2.665344723,9.973545377,FALSE,FALSE,FALSE,TRUE,2
"11",-1,-1,1.13000000000011,-1,-1,-1,1,-1,7.8306882343595,8.24735490102617,8.41269841269841,7.55291045658172,10,"5588ee6ffdf99b304dd48297",60,1.13000000000011,8.41269841269841,8.01091300116645,0.535713882042619,8.41269841269841,7.55291045658172,8.24735490102617,7.8306882343595,1,2.665344723,9.973545377,FALSE,FALSE,FALSE,TRUE,3
"12",-1,-1,-1,1.0335,-1,-1,-1,1,9.67592632959759,8.93518599252852,9.48412698412698,9.36507936507937,11,"5588ee6ffdf99b304dd48297",60,1.0335,9.36507936507937,9.36507966783312,0.414462215685971,9.67592632959759,8.93518599252852,9.48412698412698,9.36507936507937,1,2.665344723,9.973545377,FALSE,FALSE,TRUE,FALSE,2
"13",-1,1.13339999997629,-1,-1,-1,1,-1,-1,8.15476190476191,7.99603174603175,4.67592632959759,9.79497394864521,12,"5588ee6ffdf99b304dd48297",3,1.13339999997629,7.99603174603175,7.65542348225912,2.85273395518147,9.79497394864521,4.67592632959759,8.15476190476191,7.99603174603175,1,2.665344723,9.973545377,FALSE,FALSE,TRUE,FALSE,2
"14",-1,-1,-1,1.25769999998829,-1,-1,-1,1,8.24735490102617,8.36640252007379,7.45370410737537,9.41798982166109,13,"5588ee6ffdf99b304dd48297",3,1.25769999998829,9.41798982166109,8.3713628375341,1.39550264550265,9.41798982166109,7.45370410737537,8.36640252007379,8.24735490102617,1,2.665344723,9.973545377,FALSE,FALSE,FALSE,TRUE,3
"15",-1,-1,1.08360000002381,-1,-1,-1,1,-1,8.26719617086744,7.14947170681424,8.26058281792535,9.8015873015873,14,"5588ee6ffdf99b304dd48297",3,1.08360000002381,8.26058281792535,8.36970949929858,1.90917040305163,9.8015873015873,7.14947170681424,8.26719617086744,8.26058281792535,1,2.665344723,9.973545377,FALSE,FALSE,TRUE,FALSE,1
